# SAXS profile: number of points = 502, q_min = 0, q_max = 0.35, delta_q = 0.0007
#    q    intensity    error
0.00000000 4802451.00000000 1008.51470947
0.00070000 4802221.00000000 1347.02294922
0.00140000 4801532.50000000 1901.40686035
0.00210000 4800402.00000000 2678.62426758
0.00280000 4798804.50000000 3282.38208008
0.00350000 4796763.00000000 3885.37792969
0.00420000 4794251.00000000 3739.51562500
0.00490000 4791309.00000000 4240.30859375
0.00560000 4787912.00000000 5688.03906250
0.00630000 4784081.00000000 6810.13867188
0.00700000 4779779.00000000 6882.88134766
0.00770000 4775036.50000000 6854.56494141
0.00840000 4769837.00000000 10088.20507812
0.00910000 4764195.50000000 10826.63378906
0.00980000 4758127.50000000 10020.61621094
0.01050000 4751588.00000000 11475.08496094
0.01120000 4744619.50000000 9550.91894531
0.01190000 4737216.00000000 10083.16406250
0.01260000 4729380.50000000 11577.52246094
0.01330000 4721096.50000000 10126.75195312
0.01400000 4712410.00000000 19085.25976562
0.01470000 4703253.00000000 15506.62402344
0.01540000 4693693.00000000 11546.48437500
0.01610000 4683677.00000000 15617.71972656
0.01680000 4673265.50000000 16220.90429688
0.01750000 4662435.00000000 18113.56054688
0.01820000 4651197.00000000 18753.62500000
0.01890000 4639539.00000000 18003.73046875
0.01960000 4627463.00000000 15728.74707031
0.02030000 4614985.50000000 17693.85351562
0.02100000 4602084.50000000 16705.56640625
0.02170000 4588787.00000000 21874.74609375
0.02240000 4575103.00000000 17664.47265625
0.02310000 4561020.00000000 18136.89648438
0.02380000 4546557.50000000 16913.19335938
0.02450000 4531702.00000000 17333.75976562
0.02520000 4516454.50000000 19524.63085938
0.02590000 4500840.50000000 19976.98046875
0.02660000 4484827.50000000 22280.62304688
0.02730000 4468461.50000000 22762.34179688
0.02800000 4451735.00000000 30984.07421875
0.02870000 4434637.50000000 23707.57226562
0.02940000 4417198.50000000 20142.42382812
0.03010000 4399406.50000000 20523.23046875
0.03080000 4381249.00000000 25078.26953125
0.03150000 4362751.50000000 27648.93750000
0.03220000 4343931.00000000 32449.16210938
0.03290000 4324778.00000000 28588.94335938
0.03360000 4305284.00000000 26813.30859375
0.03430000 4285473.00000000 22691.58007812
0.03500000 4265333.50000000 34549.20312500
0.03570000 4244887.50000000 42062.58593750
0.03640000 4224144.00000000 23697.44726562
0.03710000 4203088.50000000 24020.65039062
0.03780000 4181741.00000000 26771.50585938
0.03850000 4160080.25000000 34507.86718750
0.03920000 4138149.50000000 27448.34570312
0.03990000 4115922.50000000 30301.41992188
0.04060000 4093427.75000000 38314.48046875
0.04130000 4070659.50000000 30994.00000000
0.04200000 4047619.75000000 31328.57617188
0.04270000 4024326.50000000 39569.19140625
0.04340000 4000769.75000000 42632.19921875
0.04410000 3976980.75000000 26904.27343750
0.04480000 3952939.25000000 27156.69140625
0.04550000 3928669.75000000 35623.21093750
0.04620000 3904160.00000000 30405.59765625
0.04690000 3879429.50000000 33448.43750000
0.04760000 3854484.50000000 36528.94921875
0.04830000 3829336.25000000 50972.29296875
0.04900000 3803958.50000000 31382.65625000
0.04970000 3778394.75000000 31608.16015625
0.05040000 3752632.50000000 28932.79492188
0.05110000 3726678.25000000 37861.18359375
0.05180000 3700545.50000000 46893.30859375
0.05250000 3674236.75000000 47177.19921875
0.05320000 3647753.00000000 38553.10156250
0.05390000 3621111.50000000 50693.75000000
0.05460000 3594301.75000000 32974.12109375
0.05530000 3567337.75000000 33138.78125000
0.05600000 3540238.25000000 33295.94140625
0.05670000 3512986.00000000 45607.33984375
0.05740000 3485606.00000000 36640.69140625
0.05810000 3458110.00000000 58246.67187500
0.05880000 3430467.25000000 36925.54687500
0.05950000 3402729.75000000 30879.77148438
0.06020000 3374884.25000000 43374.01171875
0.06090000 3346924.50000000 34183.81250000
0.06160000 3318875.00000000 31164.23632812
0.06230000 3290729.25000000 37494.56640625
0.06300000 3262505.00000000 46980.07421875
0.06370000 3234193.75000000 31387.84960938
0.06439999 3205821.75000000 37738.92968750
0.06510000 3177362.25000000 37804.25390625
0.06580000 3148854.25000000 37861.82031250
0.06650000 3120286.00000000 47389.34375000
0.06720000 3091672.75000000 44278.93750000
0.06789999 3063018.50000000 41153.18359375
0.06860000 3034311.75000000 31678.21484375
0.06930000 3005583.00000000 50710.19531250
0.07000000 2976816.75000000 34873.41015625
0.07070000 2948047.25000000 47559.37109375
0.07139999 2919246.50000000 57065.42578125
0.07210000 2890450.00000000 44371.29687500
0.07280000 2861655.75000000 34846.37890625
0.07350000 2832845.75000000 37988.46093750
0.07420000 2804059.75000000 50607.66796875
0.07489999 2775290.50000000 50554.68750000
0.07560000 2746522.75000000 37869.05468750
0.07630000 2717798.25000000 40966.73046875
0.07700000 2689084.50000000 40900.97656250
0.07770000 2660403.75000000 31406.06445312
0.07840000 2631779.75000000 37613.39843750
0.07910000 2603187.75000000 34405.03125000
0.07979999 2574649.50000000 40566.17578125
0.08050000 2546163.75000000 34239.53515625
0.08120000 2517739.75000000 37252.47656250
0.08190000 2489378.00000000 34050.95703125
0.08260000 2461089.75000000 33948.26953125
0.08329999 2432878.50000000 33840.12109375
0.08400000 2404734.75000000 36792.44140625
0.08470000 2376686.75000000 33607.53906250
0.08540000 2348712.00000000 42615.03125000
0.08610000 2320842.75000000 48514.89453125
0.08679999 2293066.00000000 39259.58203125
0.08750000 2265391.00000000 39094.98437500
0.08820000 2237828.25000000 41918.99609375
0.08890000 2210371.50000000 32787.54687500
0.08960000 2183021.75000000 35600.71875000
0.09029999 2155790.75000000 29523.55273438
0.09100000 2128686.75000000 38188.64062500
0.09170000 2101718.50000000 32146.83398438
0.09240000 2074850.87500000 37789.25781250
0.09310000 2048144.87500000 37582.43359375
0.09379999 2021565.87500000 28746.66406250
0.09450000 1995124.12500000 42870.23046875
0.09519999 1968837.00000000 42615.47265625
0.09590000 1942693.25000000 33884.45703125
0.09660000 1916702.62500000 28060.52539062
0.09729999 1890860.00000000 52973.38281250
0.09800000 1865177.50000000 33237.46093750
0.09869999 1839654.50000000 33014.43750000
0.09940000 1814301.00000000 43717.39453125
0.10010000 1789111.75000000 32558.25390625
0.10079999 1764088.75000000 29631.39648438
0.10150000 1739239.12500000 29414.88085938
0.10219999 1714563.62500000 42466.30859375
0.10290000 1690069.12500000 28973.69921875
0.10360000 1665750.37500000 41816.99609375
0.10430000 1641614.62500000 33708.09375000
0.10500000 1617666.00000000 30865.06640625
0.10569999 1593905.37500000 33163.58984375
0.10640000 1570334.50000000 30357.70507812
0.10710000 1546941.50000000 37625.48437500
0.10780000 1523749.25000000 39788.14062500
0.10850000 1500752.37500000 27114.84179688
0.10919999 1477951.87500000 29316.65234375
0.10990000 1455360.25000000 33893.88281250
0.11059999 1432963.75000000 23987.81250000
0.11130000 1410765.12500000 26140.77148438
0.11200000 1388770.00000000 28247.58007812
0.11269999 1366990.50000000 30308.22851562
0.11340000 1345402.87500000 30013.24609375
0.11409999 1324024.62500000 25145.21289062
0.11480000 1302866.00000000 22630.78125000
0.11550000 1281912.12500000 31361.97851562
0.11619999 1261169.75000000 22171.36328125
0.11690000 1240638.00000000 46075.43359375
0.11759999 1220319.12500000 32564.21484375
0.11830000 1200217.87500000 27921.26757812
0.11900000 1180328.37500000 25495.09179688
0.11969999 1160650.25000000 27317.64257812
0.12040000 1141194.25000000 27015.49023438
0.12109999 1121952.25000000 30822.83203125
0.12180000 1102927.87500000 20315.93164062
0.12249999 1084115.25000000 26108.20507812
0.12320000 1065524.12500000 25805.92773438
0.12390000 1047148.81250000 23541.99804688
0.12459999 1028997.43750000 21324.94140625
0.12529999 1011054.43750000 26816.19531250
0.12600000 993338.12500000 20815.40039062
0.12670000 975833.75000000 28038.14257812
0.12740000 958552.00000000 18461.71093750
0.12809999 941482.87500000 23701.35937500
0.12879999 924631.87500000 30604.38867188
0.12950000 907999.25000000 28438.53710938
0.13020000 891580.31250000 19300.92968750
0.13090000 875382.06250000 22515.26367188
0.13159999 859397.87500000 17093.42187500
0.13229999 843628.25000000 18555.17968750
0.13300000 828071.25000000 19973.07812500
0.13370000 812730.12500000 24631.81835938
0.13440000 797604.00000000 24299.00585938
0.13509999 782689.18750000 17576.45898438
0.13579999 767984.50000000 15759.04101562
0.13650000 753493.37500000 15540.80078125
0.13720000 739209.87500000 19920.96679688
0.13789999 725135.18750000 16619.00976562
0.13859999 711270.31250000 14893.99902344
0.13929999 697609.18750000 17617.42187500
0.14000000 684154.50000000 15916.85449219
0.14070000 670903.12500000 15686.04980469
0.14139999 657862.12500000 16862.32226562
0.14209999 645016.56250000 16614.33593750
0.14279999 632369.37500000 15004.22656250
0.14350000 619923.56250000 13436.84277344
0.14420000 607678.75000000 19852.86523438
0.14489999 595632.31250000 22160.20117188
0.14559999 583772.93750000 16688.31640625
0.14629999 572115.00000000 12640.87988281
0.14700000 560643.18750000 17424.79101562
0.14770000 549364.31250000 13478.92773438
0.14839999 538274.62500000 14475.28027344
0.14909999 527372.50000000 16623.30664062
0.14979999 516656.18750000 15192.79101562
0.15050000 506126.65625000 12651.90136719
0.15120000 495774.43750000 15845.94238281
0.15189999 485606.25000000 14478.59277344
0.15259999 475616.81250000 13149.85253906
0.15329999 465803.90625000 11859.13378906
0.15400000 456165.28125000 10605.84277344
0.15470000 446703.46875000 12519.31152344
0.15539999 437412.59375000 12314.03906250
0.15609999 428290.96875000 10092.67578125
0.15680000 419336.87500000 13895.98535156
0.15750000 410549.81250000 11712.98632812
0.15820000 401925.84375000 11517.58691406
0.15889999 393465.56250000 11324.72558594
0.15959999 385167.06250000 10206.54101562
0.16030000 377023.90625000 10034.30273438
0.16100000 369041.34375000 11658.01562500
0.16170000 361208.56250000 11459.88281250
0.16239999 353533.68750000 9531.62109375
0.16309999 346006.78125000 13627.12988281
0.16380000 338630.37500000 9208.03710938
0.16450000 331400.06250000 8227.00683594
0.16520000 324316.40625000 9702.24902344
0.16589999 317370.71875000 13507.13867188
0.16659999 310570.25000000 10930.83007812
0.16730000 303906.12500000 11508.16503906
0.16800000 297380.93750000 8292.46777344
0.16869999 290991.50000000 8888.62597656
0.16939999 284732.31250000 8733.30859375
0.17009999 278604.59375000 10010.54101562
0.17080000 272609.84375000 10537.73339844
0.17150000 266736.68750000 7591.99267578
0.17219999 260991.81250000 8136.68066406
0.17289999 255367.64062500 7327.39111328
0.17359999 249866.23437500 7198.39599609
0.17430000 244484.12500000 7714.45214844
0.17500000 239220.35937500 6946.95898438
0.17569999 234068.29687500 9926.36816406
0.17639999 229033.68750000 7313.50341797
0.17709999 224106.40625000 8980.50292969
0.17780000 219292.37500000 6469.56347656
0.17850000 214582.10937500 6355.38574219
0.17919999 209981.17187500 8513.68652344
0.17989999 205481.90625000 6690.90136719
0.18059999 201085.01562500 7120.82226562
0.18130000 196789.06250000 5919.31640625
0.18200000 192591.81250000 6343.97412109
0.18269999 188491.82812500 5193.89208984
0.18339999 184484.73437500 6123.41699219
0.18409999 180570.06250000 5514.88037109
0.18480000 176749.10937500 5911.19726562
0.18550000 173014.01562500 7744.10693359
0.18619999 169370.39062500 4755.92041016
0.18689999 165810.67187500 4673.37353516
0.18759999 162334.20312500 4592.43408203
