# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 4120883.25000000 865.38549805
0.00100000 4120502.25000000 1359.76574707
0.00200000 4119331.75000000 2039.06933594
0.00300000 4117367.00000000 2964.50415039
0.00400000 4114646.50000000 3703.18188477
0.00500000 4111122.75000000 4440.01269531
0.00600000 4106820.25000000 4312.16113281
0.00700000 4101754.50000000 4922.10546875
0.00800000 4095924.00000000 6635.39697266
0.00900000 4089317.50000000 7974.16943359
0.01000000 4081939.75000000 8082.24121094
0.01100000 4073810.75000000 8066.14599609
0.01200000 4064912.75000000 11889.87011719
0.01300000 4055274.75000000 12774.11523438
0.01400000 4044896.25000000 11831.32226562
0.01500000 4033758.75000000 13553.42968750
0.01600000 4021889.75000000 11281.40136719
0.01700000 4009293.00000000 11907.60058594
0.01800000 3995967.50000000 13666.20996094
0.01900000 3981943.00000000 11945.83007812
0.02000000 3967189.25000000 22493.96484375
0.02100000 3951750.50000000 18257.08789062
0.02200000 3935617.75000000 13577.88183594
0.02300000 3918798.75000000 18339.98046875
0.02400000 3901317.00000000 19018.91992188
0.02500000 3883165.25000000 21202.08203125
0.02600000 3864353.50000000 21910.88476562
0.02700000 3844899.25000000 20993.15039062
0.02800000 3824813.25000000 18301.73242188
0.02900000 3804096.00000000 20542.11914062
0.03000000 3782763.50000000 19348.83593750
0.03100000 3760834.75000000 25272.81054688
0.03200000 3738305.75000000 20355.07617188
0.03300000 3715200.75000000 20842.27539062
0.03400000 3691517.00000000 19380.46484375
0.03500000 3667306.50000000 19803.45507812
0.03600000 3642529.50000000 22237.64453125
0.03700000 3617236.75000000 22680.07421875
0.03800000 3591435.00000000 25211.87500000
0.03900000 3565108.25000000 25668.77929688
0.04000000 3538289.25000000 34816.76953125
0.04100000 3511002.00000000 26543.17578125
0.04200000 3483241.50000000 22466.91015625
0.04300000 3455019.00000000 22803.12695312
0.04400000 3426378.25000000 27753.66601562
0.04500000 3397307.75000000 30473.85156250
0.04600000 3367833.75000000 35614.84375000
0.04700000 3337959.00000000 31243.29687500
0.04800000 3307709.75000000 29174.00000000
0.04900000 3277103.00000000 24578.27343750
0.05000000 3246139.75000000 37249.45312500
0.05100000 3214835.25000000 45136.28906250
0.05200000 3183219.25000000 25306.59375000
0.05300000 3151296.50000000 25525.50390625
0.05400000 3119071.25000000 28305.57226562
0.05500000 3086567.50000000 36298.03515625
0.05600000 3053812.75000000 28721.10937500
0.05700000 3020805.50000000 31537.21093750
0.05800000 2987568.00000000 39659.96484375
0.05900000 2954110.25000000 31904.39257812
0.06000000 2920463.50000000 32066.69140625
0.06100000 2886612.00000000 40268.24218750
0.06200000 2852605.25000000 43131.39453125
0.06300000 2818444.25000000 27057.06445312
0.06400000 2784131.50000000 27145.28320312
0.06500001 2749686.50000000 35388.46875000
0.06600000 2715126.75000000 30015.72656250
0.06700000 2680480.00000000 32809.07421875
0.06800000 2645743.25000000 35598.47656250
0.06900001 2610930.50000000 49346.58984375
0.07000000 2576067.25000000 30178.62890625
