# SAXS profile: number of points = 502, q_min = 0, q_max = 0.35, delta_q = 0.0007
#    q    intensity    error
0.00000000 5719258.00000000 1201.04418945
0.00070000 5718979.50000000 1604.17370605
0.00140000 5718141.00000000 2264.38378906
0.00210000 5716723.50000000 3189.93164062
0.00280000 5714754.00000000 3908.89160156
0.00350000 5712233.50000000 4626.90917969
0.00420000 5709146.00000000 4453.13378906
0.00490000 5705506.50000000 5049.37353516
0.00560000 5701308.00000000 6773.15380859
0.00630000 5696562.00000000 8109.05566406
0.00700000 5691249.50000000 8195.39941406
0.00770000 5685371.00000000 8161.35009766
0.00840000 5678934.00000000 12010.94531250
0.00910000 5671966.00000000 12889.54199219
0.00980000 5664464.50000000 11929.36230469
0.01050000 5656391.50000000 13660.18554688
0.01120000 5647793.00000000 11369.00683594
0.01190000 5638639.50000000 12001.84375000
0.01260000 5628949.50000000 13779.66699219
0.01330000 5618719.00000000 12052.15234375
0.01400000 5607961.00000000 22712.24218750
0.01470000 5596664.00000000 18452.20117188
0.01540000 5584851.00000000 13738.73339844
0.01610000 5572488.50000000 18581.46093750
0.01680000 5559627.50000000 19297.46679688
0.01750000 5546260.50000000 21547.22265625
0.01820000 5532378.00000000 22306.54687500
0.01890000 5517978.50000000 21412.51562500
0.01960000 5503029.50000000 18704.79687500
0.02030000 5487619.00000000 21039.53125000
0.02100000 5471709.50000000 19862.30468750
0.02170000 5455314.00000000 26005.48046875
0.02240000 5438432.50000000 20997.78710938
0.02310000 5421049.50000000 21556.80273438
0.02380000 5403200.00000000 20099.90234375
0.02450000 5384861.50000000 20597.09375000
0.02520000 5366076.50000000 23197.54687500
0.02590000 5346787.50000000 23731.71484375
0.02660000 5327048.50000000 26464.77734375
0.02730000 5306874.50000000 27033.21679688
0.02800000 5286246.00000000 36792.26953125
0.02870000 5265176.50000000 28147.63281250
0.02940000 5243697.00000000 23911.25781250
0.03010000 5221759.00000000 24359.50585938
0.03080000 5199401.50000000 29761.37500000
