# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 4120885.25000000 865.38592529
0.00100000 4120502.25000000 1359.76574707
0.00200000 4119284.00000000 2039.04565430
0.00300000 4117269.25000000 2964.43383789
0.00400000 4114454.50000000 3703.00927734
0.00500000 4110826.25000000 4439.69238281
0.00600000 4106387.50000000 4311.70703125
0.00700000 4101158.50000000 4921.39013672
0.00800000 4095149.75000000 6634.14306641
0.00900000 4088334.25000000 7972.25244141
0.01000000 4080738.25000000 8079.86230469
0.01100000 4072352.75000000 8063.25878906
0.01200000 4063188.25000000 11884.82617188
0.01300000 4053241.50000000 12767.71093750
0.01400000 4042552.25000000 11824.46582031
0.01500000 4031062.75000000 13544.37109375
0.01600000 4018833.50000000 11272.82812500
0.01700000 4005864.75000000 11897.41894531
0.01800000 3992141.50000000 13653.12500000
0.01900000 3977693.00000000 11933.08007812
0.02000000 3962482.50000000 22467.27734375
0.02100000 3946588.00000000 18233.23828125
0.02200000 3929971.00000000 13558.40136719
0.02300000 3912657.25000000 18311.23828125
0.02400000 3894645.25000000 18986.39648438
0.02500000 3875960.75000000 21162.74609375
0.02600000 3856596.50000000 21866.90234375
0.02700000 3836585.25000000 20947.75585938
0.02800000 3815898.00000000 18259.07226562
0.02900000 3794592.25000000 20490.79882812
0.03000000 3772657.50000000 19297.14453125
0.03100000 3750094.50000000 25200.63671875
0.03200000 3726922.25000000 20293.09179688
0.03300000 3703161.00000000 20774.73242188
0.03400000 3678833.75000000 19313.87890625
0.03500000 3653934.25000000 19731.24414062
0.03600000 3628466.00000000 22151.78710938
0.03700000 3602487.50000000 22587.59765625
0.03800000 3575975.75000000 25103.35156250
0.03900000 3548945.25000000 25552.40625000
0.04000000 3521405.75000000 34650.63671875
0.04100000 3493385.25000000 26409.99414062
0.04200000 3464896.50000000 22348.58398438
0.04300000 3435947.25000000 22677.25195312
0.04400000 3406553.50000000 27593.08593750
0.04500000 3376736.75000000 30289.33007812
0.04600000 3346510.00000000 35389.34765625
0.04700000 3315888.25000000 31036.71484375
0.04800000 3284880.50000000 28972.64648438
0.04900000 3253524.00000000 24401.43164062
0.05000000 3221792.00000000 36970.06250000
0.05100000 3189745.25000000 44784.02734375
0.05200000 3157366.25000000 25101.06250000
0.05300000 3124689.00000000 25309.98242188
0.05400000 3091710.50000000 28057.27343750
0.05500000 3058462.25000000 35967.51953125
0.05600000 3024961.75000000 28449.76562500
0.05700000 2991211.75000000 31228.25195312
0.05800000 2957243.50000000 39257.41015625
0.05900000 2923060.00000000 31569.05078125
0.06000000 2888679.25000000 31717.69921875
0.06100000 2854123.25000000 39815.02343750
0.06200000 2819406.75000000 42629.43359375
0.06300000 2784534.75000000 26731.53320312
0.06400000 2749525.25000000 26807.87304688
0.06500001 2714404.25000000 34934.38671875
0.06600000 2679174.50000000 29618.27343750
0.06700000 2643857.50000000 32360.81640625
0.06800000 2608469.50000000 35096.96093750
0.06900001 2573027.00000000 48630.21484375
0.07000000 2537522.75000000 29727.08007812
0.07100000 2501992.50000000 29723.67187500
0.07200000 2466456.75000000 27007.70312500
0.07300001 2430915.00000000 35078.10546875
0.07400000 2395393.00000000 43117.07421875
0.07500000 2359898.50000000 43044.55078125
0.07600001 2324436.50000000 34901.41796875
0.07700001 2289042.75000000 45529.06250000
0.07800000 2253695.25000000 29376.91796875
0.07900000 2218447.25000000 29283.50585938
0.08000001 2183287.50000000 29179.63867188
0.08100000 2148226.25000000 39634.77343750
0.08200000 2113286.00000000 31572.49414062
0.08300000 2078479.87500000 49758.81250000
0.08400001 2043805.00000000 31270.21875000
0.08500000 2009297.75000000 25919.94140625
0.08600000 1974942.50000000 36082.19921875
0.08700000 1940779.50000000 28180.11914062
0.08800001 1906792.25000000 25455.67773438
0.08900000 1872995.37500000 30342.52539062
0.09000000 1839417.75000000 37662.07812500
0.09100001 1806053.87500000 24923.54492188
0.09200001 1772912.75000000 29678.56250000
0.09300000 1740018.87500000 29441.11914062
0.09400000 1707367.50000000 29195.98632812
0.09500001 1674969.25000000 36179.33984375
0.09600000 1642831.00000000 33464.46875000
0.09700000 1610967.75000000 30785.59375000
0.09800000 1579380.75000000 23453.80468750
0.09900001 1548089.25000000 37154.14453125
0.10000000 1517085.50000000 25282.23046875
0.10100000 1486382.00000000 34112.46875000
0.10200001 1455996.25000000 40491.25781250
0.10300001 1425919.62500000 31142.08593750
0.10400000 1396156.62500000 24188.41406250
0.10500000 1366728.75000000 26077.18554688
0.10600001 1337629.37500000 34350.32421875
0.10700001 1308865.37500000 33925.79296875
0.10800000 1280442.87500000 25122.28906250
0.10900000 1252369.50000000 26863.32617188
0.11000001 1224646.12500000 26507.46679688
0.11100001 1197283.87500000 20114.37109375
0.11200000 1170270.50000000 23803.30273438
0.11300001 1143620.87500000 21511.50976562
0.11400001 1117339.62500000 25056.34179688
0.11500000 1091426.50000000 20889.90429688
0.11600000 1065888.37500000 22447.60937500
0.11700001 1040717.68750000 20262.77539062
0.11800001 1015924.87500000 19947.68554688
0.11900000 991505.75000000 19631.81445312
0.12000000 967460.00000000 21071.27929688
0.12100001 943802.62500000 18998.74804688
0.12200001 920517.81250000 23776.97656250
0.12300000 897621.37500000 26713.21289062
0.12400001 875099.93750000 21330.56250000
0.12500000 852957.81250000 20957.17382812
0.12600000 831207.56250000 22168.30664062
0.12700000 809833.37500000 17103.68164062
0.12800001 788836.81250000 18316.79101562
0.12900001 768222.93750000 14980.34863281
0.13000001 747986.06250000 19107.30468750
0.13100001 728125.81250000 15858.58203125
0.13200000 708643.06250000 18378.65820312
0.13300000 689536.68750000 18017.59375000
0.13400000 670801.37500000 13583.72851562
0.13500001 652438.00000000 19964.60351562
0.13600001 634439.87500000 19556.60937500
0.13700001 616812.93750000 15321.63476562
0.13800001 599543.81250000 12500.48925781
0.13900001 582641.06250000 23247.38085938
0.14000000 566093.00000000 14367.44042969
0.14100000 549900.56250000 14055.45898438
0.14200000 534061.75000000 18329.00000000
0.14300001 518568.78125000 13441.30371094
0.14400001 503420.15625000 12044.32812500
0.14500001 488616.87500000 11770.78125000
0.14600001 474150.06250000 16728.01562500
0.14700000 460018.90625000 11233.66210938
0.14800000 446216.78125000 15956.71191406
0.14900000 432739.00000000 12657.61621094
0.15000001 419584.37500000 11404.30371094
0.15100001 406748.56250000 12056.02832031
0.15200001 394229.18750000 10857.07226562
0.15300001 382016.21875000 13236.86328125
0.15400001 370108.06250000 13768.02148438
0.15500000 358500.28125000 9227.79687500
0.15600000 347187.28125000 9811.51269531
0.15700001 336170.21875000 11154.12792969
0.15800001 325435.12500000 7761.62792969
0.15900001 314983.28125000 8315.55957031
0.16000001 304807.84375000 8833.33203125
0.16100001 294909.62500000 9316.19628906
0.16200000 285275.25000000 9067.47363281
0.16300000 275903.43750000 7465.94726562
0.16400000 266792.25000000 6603.10839844
0.16500001 257932.43750000 8991.52539062
0.16600001 249322.84375000 6245.53759766
0.16700001 240954.71875000 12751.32421875
0.16800001 232826.62500000 8853.23339844
0.16900001 224934.57812500 7456.58203125
0.17000000 217270.35937500 6687.58154297
0.17100000 209829.82812500 7037.69238281
0.17200001 202611.67187500 6835.10498047
0.17300001 195605.42187500 7657.95263672
0.17400001 188813.14062500 4956.34521484
0.17500001 182224.93750000 6253.96044922
0.17600001 175836.84375000 6069.00927734
0.17700000 169647.29687500 5435.49951172
0.17800000 163648.57812500 4833.36083984
0.17900001 157837.07812500 5966.24169922
0.18000001 152210.54687500 4545.76806641
0.18100001 146763.68750000 6009.97314453
0.18200001 141488.29687500 3883.85400391
0.18300001 136384.64062500 4893.48144531
0.18400002 131446.79687500 6201.00292969
0.18500000 126672.21093750 5654.64746094
0.18600000 122053.48437500 3765.96044922
0.18700001 117589.70312500 4310.83886719
0.18800001 113274.42968750 3211.33032227
0.18900001 109108.33593750 3420.54663086
0.19000001 105079.66406250 3612.63916016
0.19100001 101194.16406250 4371.58837891
0.19200000 97440.04687500  4231.33398438
0.19300000 93819.14062500  3003.15063477
0.19400001 90325.85156250  2642.03125000
0.19500001 86955.90625000  2556.50366211
0.19600001 83707.56250000  3215.62622070
0.19700001 80576.56250000  2632.43652344
0.19800001 77559.59375000  2315.15405273
0.19900002 74655.64062500  2687.60327148
0.20000000 71858.67968750  2383.19311523
0.20100001 69167.14843750  2305.34106445
0.20200001 66577.45312500  2432.74023438
0.20300001 64088.41015625  2353.32641602
0.20400001 61695.66406250  2086.85595703
0.20500001 59398.68359375  1835.41943359
0.20600002 57190.66406250  2663.65527344
0.20700002 55072.82812500  2921.06298828
0.20800000 53041.38281250  2161.70166016
0.20900001 51097.16796875  1609.56079102
0.21000001 49231.62500000  2181.45336914
0.21100001 47446.83203125  1659.69030762
0.21200001 45740.03906250  1753.67321777
0.21300001 44106.76171875  1982.15795898
0.21400002 42549.88671875  1783.90417480
0.21500000 41064.16406250  1463.52685547
0.21600001 39647.71875000  1806.74658203
0.21700001 38298.61328125  1628.07409668
0.21800001 37016.57421875  1459.19335938
0.21900001 35797.05078125  1299.43298340
0.22000001 34641.45312500  1148.36425781
0.22100002 33548.33593750  1340.59155273
0.22200002 32514.36132812  1305.12658691
0.22300000 31537.64843750  1059.66503906
0.22400001 30617.29882812  1446.66735840
0.22500001 29754.55859375  1210.41552734
0.22600001 28943.78125000  1182.64294434
0.22700001 28187.39453125  1156.81079102
0.22800002 27482.38281250  1038.42187500
0.22900002 26826.57031250  1018.06842041
0.23000000 26221.62304688  1181.15307617
0.23100001 25664.20507812  1161.04870605
0.23200001 25153.66601562  967.03271484
0.23300001 24689.65234375  1386.57092285
0.23400001 24270.80664062  941.10058594
0.23500001 23894.34375000  845.85980225
0.23600002 23562.61328125  1005.18115234
0.23700002 23273.71093750  1412.48156738
0.23800001 23025.23437500  1155.63659668
0.23900001 22816.82617188  1232.10864258
0.24000001 22648.18164062  900.60498047
0.24100001 22519.81054688  980.96301270
0.24200001 22429.71289062  981.07568359
0.24300002 22375.60937500  1146.52624512
0.24400002 22358.50781250  1232.51281738
0.24500000 22377.56445312  908.30535889
0.24600001 22432.44531250  997.34655762
0.24700001 22520.86328125  921.55377197
0.24800001 22643.93554688  930.32611084
0.24900001 22798.85742188  1025.94860840
0.25000000 22987.03515625  952.00805664
0.25100002 23206.14843750  1403.50793457
0.25200000 23457.85546875  1068.27075195
0.25300002 23739.54687500  1356.71520996
0.25400001 24051.11914062  1011.95086670
0.25500003 24391.24609375  1030.28637695
0.25600001 24760.97656250  1431.80358887
0.25700000 25157.51367188  1168.31494141
0.25800002 25582.75000000  1292.05688477
0.25900000 26033.34375000  1116.83044434
0.26000002 26511.51171875  1245.51086426
0.26100001 27013.12695312  1061.61596680
0.26200002 27541.15039062  1303.79821777
0.26300001 28091.56835938  1223.66882324
0.26400000 28666.66992188  1367.40014648
0.26500002 29264.40234375  1868.23950195
0.26600000 29884.16992188  1196.86096191
0.26700002 30525.91601562  1227.14196777
0.26800001 31188.90429688  1258.47229004
0.26900002 31871.06054688  1290.77807617
0.27000001 32574.20117188  1588.96960449
0.27100003 33294.86328125  1630.11669922
0.27200001 34035.96875000  2090.65942383
0.27300000 34792.32812500  1429.96472168
0.27400002 35564.66406250  2053.85937500
0.27500001 36355.58984375  1505.12145996
0.27600002 37160.12890625  2161.60498047
0.27700001 37980.10546875  1583.77050781
0.27800003 38814.11328125  1786.80786133
0.27900001 39661.35937500  1998.93261719
0.28000000 40521.61328125  2049.58325195
0.28100002 41392.55078125  2101.08593750
0.28200001 42275.59375000  2332.97875977
0.28300002 43169.10937500  2758.50634766
0.28400001 44071.58203125  2449.27832031
0.28500003 44983.48828125  2315.75024414
0.28600001 45903.06640625  2173.73974609
0.28700000 46829.91796875  2023.05249023
0.28800002 47764.10546875  2277.63159180
0.28900000 48703.91406250  3389.79248047
0.29000002 49648.44531250  2383.87036133
0.29100001 50598.26953125  2216.20434570
0.29200003 51551.09375000  2492.23779297
0.29300001 52507.22265625  3010.23925781
0.29400000 53464.70312500  2365.81323242
0.29500002 54424.67968750  2899.74707031
0.29600000 55384.71484375  3207.60571289
0.29700002 56343.66796875  2518.56201172
0.29800001 57303.41406250  2827.06396484
0.29900002 58260.52343750  2621.72387695
0.30000001 59216.02343750  2940.96386719
0.30100003 60167.66015625  3543.27392578
0.30200002 61115.46875000  3611.00756836
0.30300000 62059.71093750  4810.86865234
0.30400002 62999.10546875  4323.31396484
0.30500001 63931.01171875  3227.87695312
0.30600002 64857.42968750  3882.69042969
0.30700001 65776.42187500  3038.87084961
0.30800003 66687.74218750  4018.27026367
0.30900002 67590.29687500  3457.24389648
0.31000000 68483.24218750  5750.53808594
0.31100002 69367.11718750  4220.29589844
0.31200001 70239.88281250  3297.76245117
0.31300002 71101.76562500  3348.89331055
0.31400001 71952.16406250  4079.68774414
0.31500003 72789.63281250  3795.25170898
0.31600001 73615.05468750  3500.39599609
0.31700000 74427.22656250  3905.19653320
0.31800002 75224.60937500  3599.49780273
0.31900001 76008.86718750  4013.26831055
0.32000002 76777.57031250  5545.26025391
0.32100001 77530.53906250  6366.03271484
0.32200003 78268.45312500  5688.16015625
0.32300001 78989.09375000  6909.96630859
0.32400000 79693.25781250  3885.04638672
0.32500002 80379.98437500  4716.69775391
0.32600001 81048.76562500  3975.44189453
0.32700002 81700.54687500  6431.46728516
0.32800001 82334.71875000  4469.54052734
0.32900003 82948.50000000  4516.54638672
0.33000001 83544.71093750  5392.39355469
0.33100003 84120.35937500  5864.87207031
0.33200002 84677.64062500  5921.50781250
0.33300000 85214.67968750  5123.10644531
0.33400002 85731.57812500  5600.41552734
0.33500001 86227.93750000  5649.65478516
0.33600003 86704.53125000  5697.78857422
0.33700001 87159.42187500  4418.98291016
